Character,Book,Page,Chapter No,Chapter Name,POV,Title,Forename,Surname,OldSurname,Alias,RegnalNo,Gender,AliveStatus
Jonquil,A Game of Thrones,461,44,Sansa III,Sansa Stark,,Jonquil,,,,,F,F
"Ser Florian, The Fool",A Game of Thrones,461,44,Sansa III,Sansa Stark,Ser,Florian,,,The Fool,,M,F
Tya Lannister,A Game of Thrones,469,45,Eddard XII,Eddard Stark,,Tya,Lannister,,,,F,D
Gowen Baratheon,A Game of Thrones,469,45,Eddard XII,Eddard Stark,,Gowen,Baratheon,,,,M,D
Khal Ogo,A Game of Thrones,475,46,Daenerys V,Daenerys Targaryen,Khal,Ogo,,,,,M,D
Khalakka Fogo,A Game of Thrones,475,46,Daenerys V,Daenerys Targaryen,Khalakka,Fogo,,,,,M,D
Khal Jommo,A Game of Thrones,475,46,Daenerys V,Daenerys Targaryen,Khal,Jommo,,,,,M,A
Ser Preston Greenfield,A Game of Thrones,485,47,Eddard XIII,Eddard Stark,Ser,Preston,Greenfield,,,,M,D
Ser Kevan Lannister,A Game of Thrones,490,47,Eddard XIII,Eddard Stark,Ser,Kevan,Lannister,,,,M,D
Captain Qos,A Game of Thrones,492,47,Eddard XIII,Eddard Stark,Captain,Qos,,,,,M,A
Septon Cellador,A Game of Thrones,497,48,Jon VI,Jon Snow,Septon,Cellador,,,,,M,A
Othell Yarwyck,A Game of Thrones,497,48,Jon VI,Jon Snow,,Othell,Yarwyck,,,,M,A
Borcas,A Game of Thrones,500,48,Jon VI,Jon Snow,,Borcas,,,,,M,A
Dickon Tarly,A Game of Thrones,502,48,Jon VI,Jon Snow,,Dickon,Tarly,,,,M,A
Dywen,A Game of Thrones,504,48,Jon VI,Jon Snow,,Dywen,,,,,M,U
Ser Mandon Moore,A Game of Thrones,532,51,Sansa IV,Sansa Stark,Ser,Mandon,Moore,,,,M,D
Othor,A Game of Thrones,532,51,Sansa IV,Sansa Stark,,Othor,,,,,M,D
Lady Shella,A Game of Thrones,532,51,Sansa IV,Sansa Stark,Lady,Shella,,,,,F,F
The Rainbow Knight,A Game of Thrones,532,51,Sansa IV,Sansa Stark,,?,,,The Rainbow Knight,,M,F
Jafer Flowers,A Game of Thrones,533,52,Jon VII,Jon Snow,,Jafer,Flowers,,,,M,D
Bass,A Game of Thrones,533,52,Jon VII,Jon Snow,,Bass,,,,,M,U
Hake,A Game of Thrones,538,52,Jon VII,Jon Snow,,Hake,,,,,M,D
Ketter,A Game of Thrones,538,52,Jon VII,Jon Snow,,Ketter,,,,,M,U
Lord Rickard Karstark,A Game of Thrones,549,53,Bran VI,Bran Stark,Lord,Rickard,Karstark,,,,M,D
Harrion Karstark,A Game of Thrones,549,53,Bran VI,Bran Stark,,Harrion,Karstark,,,,M,A
Eddard Karstark,A Game of Thrones,549,53,Bran VI,Bran Stark,,Eddard,Karstark,,,,M,D
Torrhen Karstark,A Game of Thrones,549,53,Bran VI,Bran Stark,,Torrhen,Karstark,,,,M,D
Lord Medger Cerwyn,A Game of Thrones,550,53,Bran VI,Bran Stark,Lord,Medger,Cerwyn,,,,M,D
Lord Robin Flint,A Game of Thrones,551,53,Bran VI,Bran Stark,Lord,Robin,Flint,,,,M,D
Robett Glover,A Game of Thrones,554,53,Bran VI,Bran Stark,,Robett,Glover,,,,M,A
Lord Halys Hornwood,A Game of Thrones,555,53,Bran VI,Bran Stark,Lord,Halys,Hornwood,,,,M,D
"Lord Jon Umber, Greatjon",A Game of Thrones,555,53,Bran VI,Bran Stark,Lord,Jon,Umber,,Greatjon,,M,A
Captain Byan Votyris,A Game of Thrones,565,54,Daenerys VI,Daenerys Targaryen,Captain,Byan,Votyris,,,,M,A
Quaro,A Game of Thrones,568,54,Daenerys VI,Daenerys Targaryen,,Quaro,,,,,M,D
Rakharo,A Game of Thrones,568,54,Daenerys VI,Daenerys Targaryen,,Rakharo,,,,,M,A
Khal Bharbo,A Game of Thrones,574,54,Daenerys VI,Daenerys Targaryen,Khal,Bharbo,,,,,M,D
Ser Wylis Manderly,A Game of Thrones,575,55,Catelyn VIII,Catelyn Tully,Ser,Wylis,Manderly,,,,M,A
Ser Wendel Manderly,A Game of Thrones,575,55,Catelyn VIII,Catelyn Tully,Ser,Wendel,Manderly,,,,M,D
"Chella, Daughter of Cheyk",A Game of Thrones,586,56,Tyrion VII,Tyrion Lannister,,Chella,,,Daughter of Cheyk,,F,A
"Ulf, Son of Umar",A Game of Thrones,586,56,Tyrion VII,Tyrion Lannister,,Ulf,,,Son of Umar,,M,D
Umar,A Game of Thrones,586,56,Tyrion VII,Tyrion Lannister,,Umar,,,,,M,U
"Timett, Son of Timett",A Game of Thrones,587,56,Tyrion VII,Tyrion Lannister,,Timett,,,Son of Timett,,M,A
Timett,A Game of Thrones,587,56,Tyrion VII,Tyrion Lannister,,Timett,,,,,M,U
Ser Flement Brax,A Game of Thrones,588,56,Tyrion VII,Tyrion Lannister,Ser,Flement,Brax,,,,M,A
Lord Roland Crakehall,A Game of Thrones,589,56,Tyrion VII,Tyrion Lannister,Lord,Roland,Crakehall,,,,M,A
Lord Tytos Lannister,A Game of Thrones,594,56,Tyrion VII,Tyrion Lannister,Lord,Tytos,Lannister,,,,M,D
Ser Addam Marbrand,A Game of Thrones,594,56,Tyrion VII,Tyrion Lannister,Ser,Addam,Marbrand,,,,M,A
Lord Gyles Rosby,A Game of Thrones,597,57,Sansa V,Sansa Stark,Lord,Gyles,Rosby,,,,M,D
Ser Dontos Hollard,A Game of Thrones,597,57,Sansa V,Sansa Stark,Ser,Dontos,Hollard,,,,M,D
Ser Stevron Frey,A Game of Thrones,598,57,Sansa V,Sansa Stark,Ser,Stevron,Frey,,,,M,D
Lord Tytos Blackwood,A Game of Thrones,598,57,Sansa V,Sansa Stark,Lord,Tytos,Blackwood,,,,M,A
Prince Doran Martell,A Game of Thrones,598,57,Sansa V,Sansa Stark,Prince,Doran,Martell,,,,M,A
Prince Lewyn Martell,A Game of Thrones,600,57,Sansa V,Sansa Stark,Prince,Lewyn,Martell,,,,M,D
"Princess Rhaenys Targaryen, Rhaegar's daughter",A Game of Thrones,613,58,Eddard XV,Eddard Stark,Princess,Rhaenys,Targaryen,,Rhaegar's daughter,,F,D
Ser Perwyn Frey,A Game of Thrones,620,59,Catelyn IX,Catelyn Tully,Ser,Perwyn,Frey,,,,M,A
Ryger Rivers,A Game of Thrones,625,59,Catelyn IX,Catelyn Tully,,Ryger,Rivers,,,,M,U
Olyvar Frey,A Game of Thrones,626,59,Catelyn IX,Catelyn Tully,,Olyvar,Frey,,,,M,U
Elmar Frey,A Game of Thrones,626,59,Catelyn IX,Catelyn Tully,,Elmar,Frey,,,,M,U
Ser Endrew Tarth,A Game of Thrones,633,60,Jon VIII,Jon Snow,Ser,Endrew,Tarth,,,,M,D
"Pate, Of the Night's Watch",A Game of Thrones,634,60,Jon VIII,Jon Snow,,Pate,,,Of the Night's Watch,,M,A
Rudge,A Game of Thrones,635,60,Jon VIII,Jon Snow,,Rudge,,,,,M,U
"King Harren Hoare, The Black",A Game of Thrones,638,60,Jon VIII,Jon Snow,King,Harren,Hoare,,The Black,,M,D
Jhogo,A Game of Thrones,643,61,Daenerys VII,Daenerys Targaryen,,Jhogo,,,,,M,A
Mago,A Game of Thrones,646,61,Daenerys VII,Daenerys Targaryen,,Mago,,,,,M,U
Ko Jhaqo,A Game of Thrones,646,61,Daenerys VII,Daenerys Targaryen,Ko,Jhaqo,,,,,M,A
Mirri Maz Duur,A Game of Thrones,647,61,Daenerys VII,Daenerys Targaryen,,Mirri,Maz Duur,,,,F,D
Archmaester Marwyn,A Game of Thrones,648,61,Daenerys VII,Daenerys Targaryen,Archmaester,Marwyn,,,,,M,A
Lord Leo Lefford,A Game of Thrones,652,62,Tyrion VIII,Tyrion Lannister,Lord,Leo,Lefford,,,,M,D
Podrick Payne,A Game of Thrones,654,62,Tyrion VIII,Tyrion Lannister,,Podrick,Payne,,,,M,U
Shae,A Game of Thrones,655,62,Tyrion VIII,Tyrion Lannister,,Shae,,,,,F,D
Lord Lewys Lydden,A Game of Thrones,660,62,Tyrion VIII,Tyrion Lannister,Lord,Lewys,Lydden,,,,M,U
Lord Serrett,A Game of Thrones,660,62,Tyrion VIII,Tyrion Lannister,Lord,?,Serrett,,,,M,U
"Jon Umber, Smalljon",A Game of Thrones,673,63,Catelyn X,Catelyn Tully,,Jon,Umber,,Smalljon,,M,D
Daryn Hornwood,A Game of Thrones,673,63,Catelyn X,Catelyn Tully,,Daryn,Hornwood,,,,M,D
Dacey Mormont,A Game of Thrones,673,63,Catelyn X,Catelyn Tully,,Dacey,Mormont,,,,F,D
Lord Gawen Westerling,A Game of Thrones,677,63,Catelyn X,Catelyn Tully,Lord,Gawen,Westerling,,,,M,A
Lord Quenten Banefort,A Game of Thrones,677,63,Catelyn X,Catelyn Tully,Lord,Quenten,Banefort,,,,M,A
Ser Garth Greenfield,A Game of Thrones,677,63,Catelyn X,Catelyn Tully,Ser,Garth,Greenfield,,,,M,A
Lord Regenard Estren,A Game of Thrones,677,63,Catelyn X,Catelyn Tully,Lord,Regenard,Estren,,,,M,A
Ser Tytos Brax,A Game of Thrones,677,63,Catelyn X,Catelyn Tully,Ser,Tytos,Brax,,,,M,A
"Mallor, The Dornishman",A Game of Thrones,677,63,Catelyn X,Catelyn Tully,,Mallor,,,The Dornishman,,M,U
Eroeh,A Game of Thrones,680,64,Daenerys VIII,Daenerys Targaryen,,Eroeh,,,,,F,D
Ko Pono,A Game of Thrones,683,64,Daenerys VIII,Daenerys Targaryen,Ko,Pono,,,,,M,A
Buu,A Game of Thrones,698,65,Arya V,Arya Stark,,Buu,,,,,?,U
"Symeon, Star-Eyes",A Game of Thrones,706,66,Bran VII,Bran Stark,,Symeon,,,Star-Eyes,,M,F
King Jon Stark,A Game of Thrones,708,66,Bran VII,Bran Stark,King,Jon,Stark,,,,M,D
King Rickard Stark,A Game of Thrones,708,66,Bran VII,Bran Stark,King,Rickard,Stark,,,,M,D
King Theon Stark,A Game of Thrones,708,66,Bran VII,Bran Stark,King,Theon,Stark,,,,M,D
"King Brandon Stark, The Shipwright",A Game of Thrones,709,66,Bran VII,Bran Stark,King,Brandon,Stark,,The Shipwright,,M,D
"King Brandon Stark, The Burner",A Game of Thrones,709,66,Bran VII,Bran Stark,King,Brandon,Stark,,The Burner,,M,D
King Rodrik Stark,A Game of Thrones,709,66,Bran VII,Bran Stark,King,Rodrik,Stark,,,,M,D
"King Torrhen Stark, The King who Knelt",A Game of Thrones,709,66,Bran VII,Bran Stark,King,Torrhen,Stark,,The King who Knelt,,M,D
Lord Cregan Stark,A Game of Thrones,709,66,Bran VII,Bran Stark,Lord,Cregan,Stark,,,,M,D
Ser Harys Swyft,A Game of Thrones,738,69,Tyrion IX,Tyrion Lannister,Ser,Harys,Swyft,,,,M,A
Lord Andros Brax,A Game of Thrones,739,69,Tyrion IX,Tyrion Lannister,Lord,Andros,Brax,,,,M,D
Ser Forley Prester,A Game of Thrones,740,69,Tyrion IX,Tyrion Lannister,Ser,Forley,Prester,,,,M,A
Vargo Hoat,A Game of Thrones,744,69,Tyrion IX,Tyrion Lannister,,Vargo,Hoat,,,,M,D
Ser Amory Lorch,A Game of Thrones,744,69,Tyrion IX,Tyrion Lannister,Ser,Amory,Lorch,,,,M,D
Maester Vyman,A Game of Thrones,763,71,Catelyn XI,Catelyn Tully,Maester,Vyman,,,,,M,A
Bethany Rowan,A Game of Thrones,764,71,Catelyn XI,Catelyn Tully,,Bethany,Rowan,Redwyne,,,F,A
Lord Orys Baratheon,A Game of Thrones,783,73,Appendix,N/A,Lord,Orys,Baratheon,,,,M,D
"King Argilac Durrandon, The Arrogant",A Game of Thrones,783,73,Appendix,N/A,King,Argilac,Durrandon,,The Arrogant,,M,D
Lady Shireen Baratheon,A Game of Thrones,783,73,Appendix,N/A,Lady,Shireen,Baratheon,,,,F,A
Tyrek Lannister,A Game of Thrones,784,73,Appendix,N/A,,Tyrek,Lannister,,,,M,U
Lady Joanna Lannister,A Game of Thrones,787,73,Appendix,N/A,Lady,Joanna,Lannister,,,,F,D
Dorna Lannister,A Game of Thrones,787,73,Appendix,N/A,,Dorna,Lannister,Swyft,,,F,A
Willem Lannister,A Game of Thrones,787,73,Appendix,N/A,,Willem,Lannister,,,,M,D
Martyn Lannister,A Game of Thrones,787,73,Appendix,N/A,,Martyn,Lannister,,,,M,A
Janei Lannister,A Game of Thrones,787,73,Appendix,N/A,,Janei,Lannister,,,,F,A
Genna Frey,A Game of Thrones,787,73,Appendix,N/A,,Genna,Frey,Lannister,,,F,A
Ser Cleos Frey,A Game of Thrones,787,73,Appendix,N/A,Ser,Cleos,Frey,,,,M,D
Tion Frey,A Game of Thrones,787,73,Appendix,N/A,,Tion,Frey,,,,M,D
"Ser Tygett Lannister, Tyg",A Game of Thrones,788,73,Appendix,N/A,Ser,Tygett,Lannister,,Tyg,,M,D
Darlessa Marbrand,A Game of Thrones,788,73,Appendix,N/A,,Darlessa,Marbrand,,,,F,A
"Gerion Lannister, Gery",A Game of Thrones,788,73,Appendix,N/A,,Gerion,Lannister,,Gery,,M,U
Joy Hill,A Game of Thrones,788,73,Appendix,N/A,,Joy,Hill,,,,F,A
Ser Stafford Lannister,A Game of Thrones,788,73,Appendix,N/A,Ser,Stafford,Lannister,,,,M,D
Cerenna Lannister,A Game of Thrones,788,73,Appendix,N/A,,Cerenna,Lannister,,,,F,A
Myrielle Lannister,A Game of Thrones,788,73,Appendix,N/A,,Myrielle,Lannister,,,,F,A
Ser Daven Lannister,A Game of Thrones,788,73,Appendix,N/A,Ser,Daven,Lannister,,,,M,A
Maester Creylen,A Game of Thrones,788,73,Appendix,N/A,Maester,Creylen,,,,,M,A
Lady Jeyne Arryn,A Game of Thrones,789,73,Appendix,N/A,Lady,Jeyne,Arryn,,,,F,D
Lady Rowena Arryn,A Game of Thrones,789,73,Appendix,N/A,Lady,Rowena,Arryn,,,,F,D
"King Harwyn Hoare, Hardhand",A Game of Thrones,791,73,Appendix,N/A,King,Harwyn,Hoare,,Hardhand,,M,D
"King Arrec Durrandon, The Storm King",A Game of Thrones,791,73,Appendix,N/A,King,Arrec,Durrandon,,The Storm King,,M,D
Edmyn Tully,A Game of Thrones,791,73,Appendix,N/A,,Edmyn,Tully,,,,M,D
Lady Minisa Tully,A Game of Thrones,791,73,Appendix,N/A,Lady,Minisa,Tully,Whent,,,F,D
Ser Desmond Grell,A Game of Thrones,791,73,Appendix,N/A,Ser,Desmond,Grell,,,,M,A
Robin Ryger,A Game of Thrones,791,73,Appendix,N/A,,Robin,Ryger,,,,M,A
Utherydes Wayn,A Game of Thrones,792,73,Appendix,N/A,,Utherydes,Wayn,,,,M,A
"King Garth Gardener, Greenhand",A Game of Thrones,793,73,Appendix,N/A,King,Garth,Gardener,,Greenhand,,M,D
Lord Harlen Tyrell,A Game of Thrones,793,73,Appendix,N/A,Lord,Harlen,Tyrell,,,,M,D
Lady Alerie Tyrell,A Game of Thrones,793,73,Appendix,N/A,Lady,Alerie,Tyrell,Hightower,,,F,A
Willas Tyrell,A Game of Thrones,793,73,Appendix,N/A,,Willas,Tyrell,,,,M,A
"Ser Garlan Tyrell, The Gallant",A Game of Thrones,793,73,Appendix,N/A,Ser,Garlan,Tyrell,,The Gallant,,M,A
"Lady Olenna Tyrell, Queen of Thorns",A Game of Thrones,793,73,Appendix,N/A,Lady,Olenna,Tyrell,Redwyne,Queen of Thorns,,F,A
Lady Mina Redwyne,A Game of Thrones,793,73,Appendix,N/A,Lady,Mina,Redwyne,Tyrell,,,F,A
Lord Paxter Redwyne,A Game of Thrones,793,73,Appendix,N/A,Lord,Paxter,Redwyne,,,,M,A
Lady Janna Fossoway,A Game of Thrones,793,73,Appendix,N/A,Lady,Janna,Fossoway,Tyrell,,,F,A
"Garth Tyrell, The Gross",A Game of Thrones,793,73,Appendix,N/A,,Garth,Tyrell,,The Gross,,M,D
Garse Flowers,A Game of Thrones,794,73,Appendix,N/A,,Garse,Flowers,,,,M,A
Garrett Flowers,A Game of Thrones,794,73,Appendix,N/A,,Garrett,Flowers,,,,M,A
Ser Moryn Tyrell,A Game of Thrones,794,73,Appendix,N/A,Ser,Moryn,Tyrell,,,,M,A
Maester Gormon,A Game of Thrones,794,73,Appendix,N/A,Maester,Gormon,,Tyrell,,,M,A
Maester Lomys,A Game of Thrones,794,73,Appendix,N/A,Maester,Lomys,,,,,M,A
Ser Vortimer Crane,A Game of Thrones,794,73,Appendix,N/A,Ser,Vortimer,Crane,,,,M,A
Desmera Redwyne,A Game of Thrones,794,73,Appendix,N/A,,Desmera,Redwyne,,,,F,A
Lady Arwyn Oakheart,A Game of Thrones,794,73,Appendix,N/A,Lady,Arwyn,Oakheart,,,,F,A
Lord Leyton Hightower,A Game of Thrones,794,73,Appendix,N/A,Lord,Leyton,Hightower,,,,M,A
Ser Jon Fossoway,A Game of Thrones,794,73,Appendix,N/A,Ser,Jon,Fossoway,,,,M,A
The Grey King,A Game of Thrones,795,73,Appendix,N/A,,?,,,The Grey King,,M,U
"King Urron Greyiron, Redhand",A Game of Thrones,795,73,Appendix,N/A,King,Urron,Greyiron,,Redhand,,M,D
King Qhored Hoare,A Game of Thrones,795,73,Appendix,N/A,King,Qhored,Hoare,,,,M,D
Lord Vickon Greyjoy,A Game of Thrones,796,73,Appendix,N/A,Lord,Vickon,Greyjoy,,,,M,D
Lady Alannys Greyjoy,A Game of Thrones,796,73,Appendix,N/A,Lady,Alannys,Greyjoy,Harlaw,,,F,A
Rodrik Greyjoy,A Game of Thrones,796,73,Appendix,N/A,,Rodrik,Greyjoy,,,,M,D
Maron Greyjoy,A Game of Thrones,796,73,Appendix,N/A,,Maron,Greyjoy,,,,M,D
Asha Greyjoy,A Game of Thrones,796,73,Appendix,N/A,,Asha,Greyjoy,,,,F,A
"Euron Greyjoy, Crow's Eye",A Game of Thrones,796,73,Appendix,N/A,,Euron,Greyjoy,,Crow's Eye,,M,A
Victarion Greyjoy,A Game of Thrones,796,73,Appendix,N/A,,Victarion,Greyjoy,,,,M,A
"Aeron Greyjoy, Damphair",A Game of Thrones,796,73,Appendix,N/A,,Aeron,Greyjoy,,Damphair,,M,U
Queen Nymeria,A Game of Thrones,797,73,Appendix,N/A,Queen,Nymeria,,,,,F,D
Lord Mors Martell,A Game of Thrones,797,73,Appendix,N/A,Lord,Mors,Martell,,,,M,D
"King Daeron II Targaryen, The Good",A Game of Thrones,797,73,Appendix,N/A,King,Daeron,Targaryen,,The Good,II,M,D
Princess Myriah Martell,A Game of Thrones,797,73,Appendix,N/A,Princess,Myriah,Martell,,,,F,A
"Lady Mellario Martell, of Norvos",A Game of Thrones,797,73,Appendix,N/A,Lady,Mellario,Martell,,of Norvos,,F,A
Princess Arianne Martell,A Game of Thrones,797,73,Appendix,N/A,Princess,Arianne,Martell,,,,F,A
Prince Quentyn Martell,A Game of Thrones,797,73,Appendix,N/A,Prince,Quentyn,Martell,,,,M,D
Prince Trystane Martell,A Game of Thrones,797,73,Appendix,N/A,Prince,Trystane,Martell,,,,M,A
"Prince Aegon Targaryen, Son of Rhaegar Targaryen",A Game of Thrones,798,73,Appendix,N/A,Prince,Aegon,Targaryen,,Son of Rhaegar Targaryen,,M,U
Prince Oberyn Martell,A Game of Thrones,798,73,Appendix,N/A,Prince,Oberyn,Martell,,,,M,D
Captain Areo Hotah,A Game of Thrones,798,73,Appendix,N/A,Captain,Areo,Hotah,,,,M,A
Maester Caleotte,A Game of Thrones,798,73,Appendix,N/A,Maester,Caleotte,,,,,M,A
"Lord Edric Dayne, Ned",A Game of Thrones,798,73,Appendix,N/A,Lord,Edric,Dayne,,Ned,,M,A
"Visenya Targaryen, Wife of Aegon I",A Game of Thrones,799,73,Appendix,N/A,,Visenya,Targaryen,,Wife of Aegon I,,F,D
"Rhaenys Targaryen, Wife of Aegon I",A Game of Thrones,799,73,Appendix,N/A,,Rhaenys,Targaryen,,Wife of Aegon I,,F,D
Aenys Targaryen,A Game of Thrones,799,73,Appendix,N/A,,Aenys,Targaryen,,,,M,D
"King Jaehaerys I Targaryen, The Old King/The Conciliator",A Game of Thrones,799,73,Appendix,N/A,King,Jaehaerys,Targaryen,,The Old King/The Conciliator,I,M,D
King Viserys I Targaryen,A Game of Thrones,800,73,Appendix,N/A,King,Viserys,Targaryen,,,I,M,D
"King Aegon II Targaryen, The Usurper",A Game of Thrones,800,73,Appendix,N/A,King,Aegon,Targaryen,,The Usurper,II,M,D
Rhaenyra Targaryen,A Game of Thrones,800,73,Appendix,N/A,,Rhaenyra,Targaryen,,,,F,D
"King Daeron I Targaryen, The Young Dragon/The Boy King",A Game of Thrones,800,73,Appendix,N/A,King,Daeron,Targaryen,,The Young Dragon/The Boy King,I,M,D
King Viserys II Targaryen,A Game of Thrones,800,73,Appendix,N/A,King,Viserys,Targaryen,,,II,M,D
King Aerys I Targaryen,A Game of Thrones,800,73,Appendix,N/A,King,Aerys,Targaryen,,,I,M,D
"Queen Rhaella Targaryen, Wife of Aerys II",A Game of Thrones,800,73,Appendix,N/A,Queen,Rhaella,Targaryen,,Wife of Aerys II,,F,D
Maester Cressen,A Clash of Kings,1,0,Prologue,Maester Cressen,Maester,Cressen,,,,,M,D
Maester Pylos,A Clash of Kings,1,0,Prologue,Maester Cressen,Maester,Pylos,,,,,M,A
Patchface,A Clash of Kings,2,0,Prologue,Maester Cressen,,Patchface,,,,,M,A
Dalla,A Clash of Kings,4,0,Prologue,Maester Cressen,,Dalla,,,,,F,A
Matrice,A Clash of Kings,4,0,Prologue,Maester Cressen,,Matrice,,,,,F,A
Lord Steffon Baratheon,A Clash of Kings,6,0,Prologue,Maester Cressen,Lord,Steffon,Baratheon,,,,M,D
Jommy,A Clash of Kings,6,0,Prologue,Maester Cressen,,Jommy,,,,,M,U
Ser Harbert,A Clash of Kings,7,0,Prologue,Maester Cressen,Ser,Harbert,,,,,M,D
"Ser Davos Seaworth, The Onion Knight",A Clash of Kings,7,0,Prologue,Maester Cressen,Ser,Davos,Seaworth,,The Onion Knight,,M,A
Lord Gulian Swann,A Clash of Kings,9,0,Prologue,Maester Cressen,Lord,Gulian,Swann,,,,M,A
Salladhor Saan,A Clash of Kings,14,0,Prologue,Maester Cressen,,Salladhor,Saan,,,,M,A
"Morosh, The Myrman",A Clash of Kings,14,0,Prologue,Maester Cressen,,Morosh,,,The Myrman,,M,A
"Melisandre, Of Asshai/Melony",A Clash of Kings,17,0,Prologue,Maester Cressen,,Melisandre,,,Of Asshai/Melony,,F,A
Lord Ardrian Celtigar,A Clash of Kings,22,0,Prologue,Maester Cressen,Lord,Ardrian,Celtigar,,,,M,A
Lord Monford Velaryon,A Clash of Kings,22,0,Prologue,Maester Cressen,Lord,Monford,Velaryon,,,,M,D
Lord Duram Bar Emmon,A Clash of Kings,22,0,Prologue,Maester Cressen,Lord,Duram,Bar Emmon,,,,M,A
Ser Axell Florent,A Clash of Kings,22,0,Prologue,Maester Cressen,Ser,Axell,Florent,,,,M,A
Lord Guncer Sunglass,A Clash of Kings,22,0,Prologue,Maester Cressen,Lord,Guncer,Sunglass,,,,M,D
"Lommy, Greenhands",A Clash of Kings,27,1,Arya I,Arya Stark,,Lommy,,,Greenhands,,M,D
Hot Pie,A Clash of Kings,28,1,Arya I,Arya Stark,,Hot Pie,,,,,M,A
Lollys Stokeworth,A Clash of Kings,36,2,Sansa I,Sansa Stark,,Lollys,Stokeworth,,,,F,A
Falyse Stokeworth,A Clash of Kings,36,2,Sansa I,Sansa Stark,,Falyse,Stokeworth,,,,F,D
Lady Ermesande Hayford,A Clash of Kings,36,2,Sansa I,Sansa Stark,Lady,Ermesande,Hayford,,,,F,A
Morros Slynt,A Clash of Kings,39,2,Sansa I,Sansa Stark,,Morros,Slynt,,,,M,A
Captain Vylarr,A Clash of Kings,55,3,Tyrion I,Tyrion Lannister,Captain,Vylarr,,,,,M,A
"Walder Frey, Big Walder/Son of Jammos",A Clash of Kings,63,4,Bran I,Bran Stark,,Walder,Frey,,Big Walder/Son of Jammos,,M,A
"Walder Frey, Little Walder/Son of Merrett",A Clash of Kings,63,4,Bran I,Bran Stark,,Walder,Frey,,Little Walder/Son of Merrett,,M,D
Hayhead,A Clash of Kings,66,4,Bran I,Bran Stark,,Hayhead,,,,,M,U
Alebelly,A Clash of Kings,67,4,Bran I,Bran Stark,,Alebelly,,,,,M,D
Ser Jammos Frey,A Clash of Kings,68,4,Bran I,Bran Stark,Ser,Jammos,Frey,,,,M,A
Merrett Frey,A Clash of Kings,68,4,Bran I,Bran Stark,,Merrett,Frey,,,,M,D
"Walder Frey, Black Walder/Son of Ryman",A Clash of Kings,69,4,Bran I,Bran Stark,,Walder,Frey,,Black Walder/Son of Ryman,,M,A
"Walder Frey, Red Walder/Son of Emmon",A Clash of Kings,69,4,Bran I,Bran Stark,,Walder,Frey,,Red Walder/Son of Emmon,,M,A
"Walder Rivers, Bastard Walder",A Clash of Kings,69,4,Bran I,Bran Stark,,Walder,Rivers,,Bastard Walder,,M,A
"Waltyr Frey, Tyr",A Clash of Kings,69,4,Bran I,Bran Stark,,Waltyr,Frey,,Tyr,,M,A
Turnip,A Clash of Kings,69,4,Bran I,Bran Stark,,Turnip,,,,,M,A
Bandy,A Clash of Kings,69,4,Bran I,Bran Stark,,Bandy,,,,,F,A
Shyra,A Clash of Kings,69,4,Bran I,Bran Stark,,Shyra,,,,,F,A
"Palla, The kennel girl",A Clash of Kings,69,4,Bran I,Bran Stark,,Palla,,,The kennel girl,,F,A
Calon,A Clash of Kings,69,4,Bran I,Bran Stark,,Calon,,,,,M,U
"TomToo, Son of Tomard",A Clash of Kings,69,4,Bran I,Bran Stark,,TomToo,,,Son of Tomard,,M,U
Praed,A Clash of Kings,74,5,Arya II,Arya Stark,,Praed,,,,,M,D
Tarber,A Clash of Kings,74,5,Arya II,Arya Stark,,Tarber,,,,,M,U
Ser Malcolm,A Clash of Kings,75,5,Arya II,Arya Stark,Ser,Malcolm,,,,,M,U
Lync,A Clash of Kings,75,5,Arya II,Arya Stark,,Lync,,,,,M,U
Hod,A Clash of Kings,76,5,Arya II,Arya Stark,,Hod,,,,,M,A
Lord William Mooton,A Clash of Kings,76,5,Arya II,Arya Stark,Lord,William,Mooton,,,,M,A
Jaqen H'ghar,A Clash of Kings,78,5,Arya II,Arya Stark,,Jaqen,H'ghar,,,,M,A
Rorge,A Clash of Kings,78,5,Arya II,Arya Stark,,Rorge,,,,,M,D
Biter,A Clash of Kings,78,5,Arya II,Arya Stark,,Biter,,,,,M,D
Reysen,A Clash of Kings,80,5,Arya II,Arya Stark,,Reysen,,,,,M,D
Cutjack,A Clash of Kings,81,5,Arya II,Arya Stark,,Cutjack,,,,,M,U
Kurz,A Clash of Kings,81,5,Arya II,Arya Stark,,Kurz,,,,,M,D
Koss,A Clash of Kings,81,5,Arya II,Arya Stark,,Koss,,,,,M,D
Dobber,A Clash of Kings,81,5,Arya II,Arya Stark,,Dobber,,,,,M,D
Redwyn,A Clash of Kings,85,6,Jon I,Jon Snow,,Redwyn,,,,,M,D
King Dorren Stark,A Clash of Kings,85,6,Jon I,Jon Snow,King,Dorren,Stark,,,,M,D
Conwy,A Clash of Kings,88,6,Jon I,Jon Snow,,Conwy,,,,,M,A
Thoren Smallwood,A Clash of Kings,90,6,Jon I,Jon Snow,,Thoren,Smallwood,,,,M,D
Ser Arnell,A Clash of Kings,92,6,Jon I,Jon Snow,Ser,Arnell,,,,,M,U
"Prince Aerion Targaryen, Brightflame/Aerion the Monstrous",A Clash of Kings,94,6,Jon I,Jon Snow,Prince,Aerion,Targaryen,,Brightflame/Aerion the Monstrous,,M,D
